sentiment,comment
-1,makannya segentong buset
-1,mirip ursula di little mermaid
-1,stylenya dia tuh gmn sik??
-1,Beli alat gym aja kak
-1,dari mulutnya udh bisa bikin orang gulung tikar??????
-1,"zar, gaada kepikiran mau pakai behel ??"
-1,Hama Tiktok
-1,mandi minimal
-1,bedehhh damage nya ga ada
-1,Kue Koncol
-1,mandi g sih?
-1,kok jadi gitu cokk mata nya
-1,bayu menolak mandi
-1,jerawat lu ajh bang warna'in biar ga ketauan hahah
-1,Gagal keren
-1,minimal ga jerawatan dek
-1,bayu terlihat tidak di urus
-1,kejelekan maszeh
-1,KU KIRA MUKA TERNYATA AMPELA
-1,phobia bayu
-1,Less Bathing Bay
-1,suaranya bengekk??
-1,Anjirr ??
-1,Un
-1,pasangan norakkk
-1,Pasamgan paling ngeselin
-1,ngeliat mukanya aja udah gedeg
-1,orang suka pamer..alay sok kaya wooy
-1,lumayan okb dan norak ????
-1,orang NORAK tuh.. dr awal gw ga pernah follow nih org
-1,gak usah di masukin berita yang ke gini mahh sombong nya ke lebihan so banget sih jadi orang??
-1,Songong banget muka nya
-1,Tim gak suka pasangan ini si cewek sok manja banget euuhh??
-1,Lesti malu maluin
-1,"pantes badan nya gede, makan uang orang"
-1,di tasyi bawa badan sendiri aja susah bang apa LG bawa belanjan ??
-1,Tasyi ternyata redflag juga ya
-1,Boroknya segede gaban. ??
-1,buli dong masak ngak??
-1,Selebgram kere??
-1,YouTubers elit gaji sulit??????
-1,Si Tasyi Pikmi
-1,Jelas dicintai wkwk
-1,Tidak ada perilaku pada guru yang hebat
-1,Keturunan majikan Yaman Loes Boy hahahha
-1,dasar drama kontol
-1,@tasyiiathasyia lawakk
-1,Npd gk sih klw gt
-1,Akulah si princes gendut
-1,Bongsor ke ??
-1,Sakit untuk menjadi
-1,bukti nyata NPD yang bisa diliat seluruh warga indonesiaaa ????
-1,si paling korban ya Tasyi lah
-1,Gua takutnya tasyi punya penyakit npd itu loh ..
-1,ternyata suami nya redflag wkwk
-1,Si playing victim plus manipulatif abis
-1,MANUSIA RED FLAG!
-1,Kibinyikin Bicit
-1,Katakan Sirsula
-1,ursulan yang satu ini emang beda
-1,agak laen memang si tasyi ini
-1,SGT red flag dan harus dijauhi
-1,mungkin elo kenapan sama orang prindavan gak ci?
-1,KAMPUNGAN
-1,YG TERAKHIR MIRIP URSULA ??????
-1,sakit sih tasyi itu ??
-1,jatohnya norak kak beli barang branded tapi kaya murahan
-1,malu ga si bang @Ibnu Wardani si paling tau jepang ?????????? baru mau kejepang udah bikin malu wkwkwkwkw
-1,Lebayyyyyy dasarrr alay
-1,cocok banget sm istrinya. sama2 halu
-1,Alay emang
-1,bacot banget
-1,"belum juga kesana tp pemikiran sama lingkup negara nya gtt, norak bet blm jga berangkat bgg"
-1,bacot
-1,norak
-1,"Sok ""an lu??"
-1,bct
-1,menipu
-1,Cowo paling alay lebay se antero selebgram WKWKW NGAKAK
-1,#VALUE!
-1,sotoy amat bang
-1,Ibnuu ibnuu kebelet validasi
-1,ibnu sok tau????
-1,masnya butuh pengakuan kalo dia kaya ??
-1,agak norak kyknya baru pertama kali ke jepang wkwk
-1,udah sok tau salah pula @Ibnu Wardani ????
-1,malu2in sihh ????
-1,pembodohan Publik
-1,Terlalu lebih kelebihan itu pemalu ??
-1,maksudnya nyoret2 apaan dah sok berilmu
-1,"malesin lamak2 ya liat @Ibnu Wardani mcam doi aja yg punya uang, org kagak!...gw biasa liburan k Eropa aja B aja...kalau mau bbagi info yg positif aja"
-1,komuk nya dia udah menunjukkan lagi menghaluuu??????
-1,aduuh jng tinggi2 apa klo ngomong..mksdnya apa si ngomongin ginian???perasaan BKN baru dya yg pergi kejepang..noraaakkk??????
-1,"Bukan flexing, NORAK. ????????????"
-1,bikin malu
-1,dasar konntol
-1,kerjaaa kont
-1,paling gak bisa kalau soal musang
-1,Bersyukur atas isinya
-1,hhhh anak kampung
-1,Antikristus
-1,nggak ada otak
-1,dasar miskin
-1,minimal cuci muka
-1,Itam Bangett Muka Lu
-1,Pragos
-1,merinding pas ingat dia jadi Wednesday
-1,Dia hidup di dunia imajiner ya
-1,@chaiza: Yang terbaik dari yang terbaik
-1,@muhammad hanif: lucu juga ni mascot dufan
-1,@Zonatoko: Miss Nrocos Tasyi
-1,@Nabilatisyaa: Kibinyikin Bicit
-1,@Mpelss: b.c.t??
-1,@Tokyo_: kibinyikin bicit
-1,@ASAHAB_KILAB: Peelr
-1,@apaya: ratu kesalahan
-1,@FANS JENNIE KIM: lucu sekali beruang inj
-1,kocak induk bengkok
-1,@gasendra: kebanyakan bocotcotcot
-1,@lotuye: repot bat banana boat
-1,@pasyi: B A C O T
-1,@lol??: “Itu gak sok itu bener” kentut
-1,@teletabies: PickMe
-1,@Ariigatoo: Mandi minimal !!!
-1,@panpan: paling g bisa kalo soal musang
-1,@queennix??: kok mirip prindapan
-1,@udaraTerbuka: mon maap sejak kapan bright bibirny maju
-1,@Milan X6 Absen 1: paling ga bisa klo soal babi
-1,@?????: paling ga bisa tentang ular kawat ??
-1,@saya ultraman: paling ga bisa soal ulet keket
-1,@panggil aja pesuk: paling ga bisa kalo soal biawak batam ??
-1,@Miji: Paling ga bisa soal kutu air??
-1,@ikiii: gabisa kalo tentang tikus sawah??
-1,@cilukbaa: paling gbsa kalo soal lele
-1,Bisakah kamu menjadi akhir?
-1,dih mukanya
-1,paling gak bisa klo soal cicak kesetrum
-1,PALING GABISA SOAL KOLIBRI??
-1,Paling gabisa kalo soal opet
-1,paling gabisa kalau soal ac rusak??
-1,pas wink merinding ??
-1,kirain org prindapan
-1,merinding wir
-1,prestasi pas ????
-1,Ajig bahkan diracuni
-1,Merindzink bingung
-1,Jangan lupa mandi
-1,bayu rada rada
-1,kasian sm tembok nya tahan napas wkwk????
-1,senyuma lu mirip logo Arsenal
-1,pling ga bs klo soal kambing
-1,gabisa klo soal leak
-1,"logo bukan sembarang logo, mantap meriam london"
-1,Hama Tiktok
-1,paling gabisa soal jentik nyamuk
-1,rubah
-1,manyunan kematian
-1,semangad apa yg di katakan hatters itu BENAR
-1,gak pernah mandi dari kecil
-1,Bayu menolak mandi??
-1,kaya grafik pembunuhan yang di brazil gess
-1,target marketing nya squad berak lancar
-1,Kentut Poh Kah?
-1,paling ga bisa soal Buzz Lightyear??????
-1,Alisnya tasyi tinggi sebelah
-1,komuk suaminya ajir lah??
-1,"maju lo semua yang bilang tasyi mirip Buzz, gua kan skrg tiap liat tasyi jadi bayangin Buzz"
-1,kok mirip yg robot di film toy story
-1,Pondok
-1,Iyaiya Buzzzz
-1,paling gabisa kalo soal soflens relaxa
-1,alisnya tinggi sebelah
-1,sama sama buzz
-1,Info merusak ketakutan
-1,yukk hesteg#hujatjeje#
-1,Therapo
-1,Jealorely
-1,senyum logo arsenal berkah
-1,logo arsenal versi hijab
-1,senyum logo arsenal wk
-1,gw kelangkaan senyumnya njir??
-1,kue anj ??
-1,hai gitar pik
-1,Taruhan tajem adalah dagu
-1,Lesung pipi yg bikin org darah tinggi
-1,Logo Mirip Dakar
-1,uda mirip logo persita
-1,bener kata orang-orang emang mirip logo arsenal
-1,Mirip falak
-1,valak versi indo
-1,busett itu dagu panjang bener wkwkw
-1,lu malah mirip hatori
-1,Jadi salah ????
-1,anak kmpng
-1,malah couspley jadi valak
-1,Jadi Valak??
-1,mirip petrik
-1,pickboy??
-1,mirip isis
-1,mirm The sulap
-1,Cape gw liat senyum mu bg
-1,kebanyakan olahraga muka ampe jadi logo arsenal
-1,eh ketemu lagi sama jok spedah
-1,Congore adalah masalahnya
-1,makin hari makin menjadi jadi logo Arsenal yang satu ini
-1,"logo Arsenal, jok sepeda, ketelan risol.. semua udh di alami"
-1,komat kamit mulut mbah sopy
-1,merinding liat mukanyaaaa
-1,mangap mangap aja sop
-1,"Ini bukan hari Rabu, ini adalah malam suro??"
-1,Takut mata -yang menyatu ? Takut hidung ?
-1,hidung wednesday gak ngembang gitu??
-1,ini wednesday versi rabu pahing??
-1,idungnya.. ????
-1,Rabu kliwon mba haha ??maap
-1,sopy selalu buat gue merinding ??
-1,kayanya cocok sm si logo arsenal
-1,Wajah kue kontol Anda
-1,dasar gilaaa
-1,aneh bgt anjir si bayu
-1,bodoh BGT bg gemes liatnya sok ngarti
-1,muka lu kayak keset welcome bang
-1,ga usah senyum bang jadi mules liatnya
-1,dia yang senyum gw yg takut
-1,merinding liat mukanya
-1,perawatan kek geli liatnya
-1,Seperti tapir wkwkwkww
-1,jiir geli bgt liatnya
-1,mbak mbakkk dasar drama
-1,Bendera merah bgt si tasii ih :(
-1,TASYI ANEHH??
-1,bayu aneh bgt anjir
